chapter,question,option1,option2,option3,option4,correct
chapter1,What type of impurities in water are removed by coagulation?,Suspended impurities,Colloidal impurities,Dissolved impurities,Biological impurities,2
chapter1,Which process is used to remove biological impurities in water?,Sedimentation,Filtration,Sterilization,Boiling,3
chapter1,What causes temporary hardness in water?,Chlorides of calcium and magnesium,Carbonates of calcium and magnesium,Sulphates of calcium and magnesium,Hydroxides of iron,2
chapter1,What is the disadvantage of scale formation in boilers?,Enhances heat transfer,Causes overheating,Improves efficiency,Reduces boiler safety,4
chapter1,What is the key principle of the zeolite process?,Removal of chlorides,Exchange of ions,Deposition of ions,Removal of metals,2
chapter1,Which method is used for the complete removal of ionic impurities from water?,Boiling,Zeolite process,Reverse osmosis,Electrodialysis,3
chapter1,Which chemical is used to remove dissolved oxygen in boilers?,Na2SO4,Na2CO3,NaCl,N2H4,4
chapter1,What is the primary use of green chemistry?,Reduce cost of chemicals,Improve reaction safety,Eliminate hazardous waste,Increase atom economy,3
chapter1,What is the pH range maintained to avoid boiler corrosion?,6.5-7.0,8.5-9.0,9.5-10.0,7.5-8.5,2
chapter1,What is the key difference between sludge and scale in boilers?,"Sludge is hard, scale is soft","Scale is soft, sludge is hard",Sludge forms at hot spots,Scale forms at cold spots,1
chapter1,Calculate the total hardness if 50 ml of a water sample requires 15 ml of 0.02 M EDTA. Use the formula: (Y × Z × 105) / V.,150 ppm,200 ppm,250 ppm,300 ppm,2
chapter1,A water sample after boiling requires 8 ml of 0.02 M EDTA. Calculate the permanent hardness.,50 ppm,80 ppm,100 ppm,120 ppm,2
chapter1,A 100 ml water sample requires 10 ml of 0.02 M EDTA for titration. Calculate the hardness in ppm CaCO3 using: (Y × Z × 100 × 1000) / V.,200 ppm,100 ppm,150 ppm,250 ppm,2
chapter1,Determine the temporary hardness if total hardness is 400 ppm and permanent hardness is 250 ppm.,150 ppm,100 ppm,200 ppm,250 ppm,1
chapter1,"If 3500 L of water requires 15 L of 10% NaCl for zeolite regeneration, calculate hardness in ppm CaCO3 using: (Amount × 50) / 58.5.",125 ppm,200 ppm,300 ppm,400 ppm,3
chapter1,"Calculate phenolphthalein alkalinity if V1 = 9 ml, Z = 0.02 N, and V = 50 ml using: V1 × Z × 50 × 1000 / V.",180 ppm,190 ppm,200 ppm,210 ppm,1
chapter1,"Determine total alkalinity using methyl orange if V2 = 13 ml, Z = 0.02 N, and V = 50 ml using: V2 × Z × 50 × 1000 / V.",260 ppm,270 ppm,280 ppm,290 ppm,2
chapter1,"If a water sample contains 200 ppm CaCO3 equivalent of temporary hardness and 100 ppm of permanent hardness, find total hardness.",300 ppm,250 ppm,350 ppm,400 ppm,4
